date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:21	863/863	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202017%2019:17:35%20GMT	http://northmartin.com/robots.txt		(from )
16:04:21	13081/13081	---M--	200	added ('OK')	text/html	date:Wed,%2025%20Jul%202018%2020:04:16%20GMT	http://northmartin.com/	C:/My%20Web%20Sites/north/northmartin.com/index.html	(from )
16:04:23	121200/121200	---M--	200	added ('OK')	text/css	etag:%221d970-56ea365780f1c%22	http://northmartin.com/files/bootstrap.min.css	C:/My%20Web%20Sites/north/northmartin.com/files/bootstrap.min.css	(from http://northmartin.com/)
16:04:25	83871/83871	---M--	200	added ('OK')	text/css	etag:%221479f-56ea3697c9737%22	http://northmartin.com/files/animate.css	C:/My%20Web%20Sites/north/northmartin.com/files/animate.css	(from http://northmartin.com/)
16:04:26	4614/4614	---M--	200	added ('OK')	text/css	etag:%221206-56ea367404ca2%22	http://northmartin.com/files/owl.carousel.css	C:/My%20Web%20Sites/north/northmartin.com/files/owl.carousel.css	(from http://northmartin.com/)
16:04:26	29062/29062	---M--	200	added ('OK')	text/css	etag:%227186-56ea36cce17ff%22	http://northmartin.com/files/font-awesome.min.css	C:/My%20Web%20Sites/north/northmartin.com/files/font-awesome.min.css	(from http://northmartin.com/)
16:04:26	7788/7788	---M--	200	added ('OK')	text/css	etag:%221e6c-56ea36c27af34%22	http://northmartin.com/files/magnific-popup.css	C:/My%20Web%20Sites/north/northmartin.com/files/magnific-popup.css	(from http://northmartin.com/)
16:04:26	2505/2505	---M--	200	added ('OK')	text/css	etag:%229c9-56ea36621ee9d%22	http://northmartin.com/files/slicknav.min.css	C:/My%20Web%20Sites/north/northmartin.com/files/slicknav.min.css	(from http://northmartin.com/)
16:04:27	3421/3421	---M--	200	added ('OK')	text/css	etag:%22d5d-56ea36689f56f%22	http://northmartin.com/files/flaticon.css	C:/My%20Web%20Sites/north/northmartin.com/files/flaticon.css	(from http://northmartin.com/)
16:04:28	50263/50263	---M--	200	added ('OK')	text/css	etag:%22c457-56ea3bcda4bda%22	http://northmartin.com/files/styles.css	C:/My%20Web%20Sites/north/northmartin.com/files/styles.css	(from http://northmartin.com/)
16:04:29	9321/9321	---M--	200	added ('OK')	text/css	etag:%222469-56ea3672faa74%22	http://northmartin.com/files/responsive.css	C:/My%20Web%20Sites/north/northmartin.com/files/responsive.css	(from http://northmartin.com/)
16:04:29	15514/15514	---M--	200	added ('OK')	application/x-javascript	etag:%223c9a-56ea362fae9b2%22	http://northmartin.com/files/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/north/northmartin.com/files/modernizr-2.8.3.min.js	(from http://northmartin.com/)
16:04:30	5049/5049	---M--	200	added ('OK')	image/png	etag:%2213b9-56ea35f48e03a%22	http://northmartin.com/files/logohead.png	C:/My%20Web%20Sites/north/northmartin.com/files/logohead.png	(from http://northmartin.com/)
16:04:31	2671/2671	---M--	200	added ('OK')	image/png	etag:%22a6f-56ea365ae5e96%22	http://northmartin.com/files/logofooter.png	C:/My%20Web%20Sites/north/northmartin.com/files/logofooter.png	(from http://northmartin.com/)
16:04:31	14415/14415	---M--	200	added ('OK')	image/png	etag:%22384f-56ea36cf7d05f%22	http://northmartin.com/files/uno.png	C:/My%20Web%20Sites/north/northmartin.com/files/uno.png	(from http://northmartin.com/)
16:04:33	97162/97162	---M--	200	added ('OK')	application/x-javascript	etag:%2217b8a-56ea3696d2db2%22	http://northmartin.com/files/jquery-1.12.4.min.js	C:/My%20Web%20Sites/north/northmartin.com/files/jquery-1.12.4.min.js	(from http://northmartin.com/)
16:04:35	37045/37045	---M--	200	added ('OK')	application/x-javascript	etag:%2290b5-56ea3687cb294%22	http://northmartin.com/files/bootstrap.min.js	C:/My%20Web%20Sites/north/northmartin.com/files/bootstrap.min.js	(from http://northmartin.com/)
16:04:35	40401/40401	---M--	200	added ('OK')	application/x-javascript	etag:%229dd1-56ea36342ae22%22	http://northmartin.com/files/owl.carousel.min.js	C:/My%20Web%20Sites/north/northmartin.com/files/owl.carousel.min.js	(from http://northmartin.com/)
16:04:37	1074/1074	---M--	200	added ('OK')	application/x-javascript	etag:%22432-56ea3647fdb58%22	http://northmartin.com/files/counterup.main.js	C:/My%20Web%20Sites/north/northmartin.com/files/counterup.main.js	(from http://northmartin.com/)
16:04:37	5441/5441	---M--	200	added ('OK')	application/x-javascript	etag:%221541-56ea3699ed578%22	http://northmartin.com/files/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/north/northmartin.com/files/imagesloaded.pkgd.min.js	(from http://northmartin.com/)
16:04:37	34695/34695	---M--	200	added ('OK')	application/x-javascript	etag:%228787-56ea364400648%22	http://northmartin.com/files/isotope.pkgd.min.js	C:/My%20Web%20Sites/north/northmartin.com/files/isotope.pkgd.min.js	(from http://northmartin.com/)
